track_name,artist_name,popularity,danceability,energy,valence
휴일 Lazy,EXOCBX,0.47,0.72,0.75,0.85
후유증 Falling Blossoms  Instrumental,Min Kyunghoon,0.18,0.44,0.69,0.2
후유증 Falling Blossoms,Min Kyunghoon,0.42,0.26,0.69,0.19
환상통 Only One You Need,JONGHYUN,0.46,0.63,0.8,0.51
혼잣말 Talking to,Day6,0.5,0.48,0.96,0.58
혼자 하는 일 On My Own,YESUNG,0.28,0.46,0.45,0.18
혼자 이 밤을,Crucial Star,0.33,0.62,0.43,0.59
혼자 Nobody knows,GOT7,0.48,0.62,0.78,0.49
행복했던 날들이었다 days gone by,Day6,0.62,0.61,0.87,0.65
해장국 Heros Soup,Stray Kids,0.54,0.6,0.56,0.09
항상 HANGSANG,jhope,0.64,0.83,0.9,0.62
하루만이라도 Just for a day,JONGHYUN,0.42,0.71,0.8,0.37
피카부 PeekABoo,Red Velvet,0.51,0.84,0.9,0.64
평행선 Love Line,TVXQ!,0.48,0.91,0.61,0.96
편 My Side,Stray Kids,0.54,0.57,0.91,0.35
퍼즐 Puzzle  UKNOW Solo,TVXQ!,0.31,0.77,0.75,0.75
텐데…Timeless,NCT,0.49,0.56,0.44,0.27
"텐데Timeless Sung by JAEHYUN, DOYOUNG, TAEIL  Instrumental",NCT U,0.29,0.61,0.38,0.14
"텐데Timeless Sung by JAEHYUN, DOYOUNG, TAEIL",NCT U,0.57,0.56,0.45,0.26
천천히 할래,Vincent Blue,0.45,0.65,0.3,0.33
천생연분 Destiny Fyke Remix,솔리드 Solid,0.19,0.54,0.89,0.08
천 번을 말해도,더 히든,0.36,0.5,0.52,0.17
찰나 Ksana,Love X Stereo,0.14,0.5,0.44,0.23
지켜줄게 Save You,GOT7,0.36,0.74,0.95,0.52
줘야해,Limzy,0.12,0.49,0.9,0.56
젖어S Wet,Flowsik,0.5,0.79,0.65,0.31
정,gugudan,0.33,0.77,0.84,0.78
점퍼 챙겨 나와 Always missing you,W24,0.27,0.65,0.72,0.64
잘자 내 몫까지 Midnight,Suzy,0.28,0.58,0.13,0.25
잘 하고 있어 Grow Up,Stray Kids,0.57,0.56,0.94,0.51
잘 지내야해 1:31AM,GOT7,0.49,0.59,0.56,0.14
잘 부탁드립니다,WJSN,0.33,0.76,0.96,0.8
일곱 번째 감각 The 7th Sense,NCT,0.63,0.68,0.5,0.22
이별톡 Goodbye Talk Monthly Project 2018 March Yoon Jong Shin,Yoon Jongshin,0.14,0.67,0.42,0.36
이방인 The Stranger,보엠 Boheme,0.11,0.77,0.52,0.25
은퇴식 The Last Day Monthly Project 2018 February Yoon Jong Shin,Yoon Jongshin,0.13,0.53,0.3,0.19
위로의 밤,Nineteen,0.38,0.7,0.68,0.22
원하니까 Still,Day6,0.5,0.46,0.72,0.32
원하기 전에 Falling Out,LUNA,0.36,0.58,0.53,0.19
운명 The Chance of Love,TVXQ!,0.53,0.78,0.72,0.92
우연처럼 Coincidence,Jung In,0.23,0.36,0.63,0.2
우린 봄이 오기 전에 Before Our Spring,JONGHYUN,0.51,0.63,0.25,0.4
우리 Us,GOT7,0.44,0.8,0.69,0.4
외투,임정희,0.21,0.52,0.43,0.1
와플 Hashtag,JONGHYUN,0.41,0.86,0.46,0.65
올해 제일 잘한 일 The Best Thing I Ever Did,TWICE,0.61,0.72,0.66,0.47
오지 않을 너에게 Don`t Say Goodbye,Saevom,0.3,0.79,0.2,0.44
예뻐 보여 Girlfriend,SUPER JUNIOR,0.32,0.7,0.83,0.87
열기 9,LOOΠΔ,0.57,0.67,0.81,0.68
열기,LOOΠΔ,0.57,0.67,0.81,0.68
여기 서 있어,JUNIEL,0.45,0.5,0.38,0.24
어쩌다보니,Dilli Jinn,0.11,0.76,0.59,0.29
어쩌다 보니 Somehow,Day6,0.55,0.54,0.94,0.52
어린 날개,Stray Kids,0.57,0.67,0.94,0.62
어떤 꿈 After Falling Asleep,Say Sue Me,0.23,0.56,0.87,0.66
어떤 기분이 들까 I’m So Curious,JONGHYUN,0.38,0.76,0.64,0.53
어디선가 나의 노랠 듣고 있을 너에게,Lucia,0.17,0.62,0.52,0.27
어디서 뭐해 MOHAE,Monsta X,0.5,0.68,0.86,0.82
안아줄게 Hug,SUPER JUNIOR,0.37,0.55,0.6,0.56
안 보여 Come On,GOT7,0.51,0.76,0.67,0.81
아픈 길 hurt road,Day6,0.55,0.62,0.38,0.28
아스피린,Yun Ddan Ddan,0.19,0.62,0.47,0.66
시간 차 Too Late,SUPER JUNIOR,0.33,0.68,0.62,0.63
스쳐간 꿈처럼,Hyolyn,0.35,0.53,0.48,0.39
셀럽파이브 셀럽이 되고 싶어,셀럽파이브,0.2,0.51,0.85,0.64
서툰 마음 Prod 정키 Confession Prod Jung Key,Suzy,0.29,0.6,0.28,0.32
새해 복 New Years Luck  KWave Ver,Kiha  The Faces,0.1,0.65,0.89,0.41
새벽 네시,Xitsuh,0.13,0.74,0.65,0.1
새벽 공기 Without You,TVXQ!,0.27,0.6,0.6,0.48
사랑했다고 That You Loved Me,Bada,0.25,0.6,0.55,0.3
사랑일까요 Is it Love,LUNA,0.22,0.55,0.34,0.12
사람 구경 중 Sightseeing,JONGHYUN,0.37,0.68,0.9,0.78
빛이 나 Shinin,JONGHYUN,0.54,0.74,0.85,0.73
비처럼 가지 마요 One More Chance,SUPER JUNIOR,0.4,0.53,0.63,0.31
불면증 Insomnia,Stray Kids,0.61,0.65,0.75,0.77
봐 Look,Red Velvet,0.47,0.76,0.78,0.78
복을 발로 차버렸어 I kicked my luck off,KANG HO DONG,0.29,0.72,0.89,0.68
바람에 기대 Leaning Against the Wind,Solji,0.53,0.37,0.5,0.13
바람아 멈추어다오,NUEST W,0.36,0.64,0.66,0.55
몽중몽 Dream In A Dream,NCT,0.55,0.62,0.75,0.37
"모든 날, 모든 순간 Every day, Every Moment",Paul Kim,0.56,0.47,0.29,0.15
망설이다 Hesitate,GOT7,0.41,0.78,0.68,0.55
말해줘 Tell Me,Kim bo kyung,0.22,0.46,0.77,0.36
마음이 될까 Will I Be the Heart,Park Yong In,0.18,0.38,0.48,0.09
마음 다해 사랑하는 일  Instrumental,담소네공방,0.28,0.45,0.14,0.2
마음 다해 사랑하는 일,담소네공방,0.5,0.53,0.2,0.25
떠날 거야,Red Velvet,0.37,0.7,0.65,0.41
두통 Headache,Day6,0.51,0.49,0.93,0.46
두 번째 데이트 My Second Date,Red Velvet,0.44,0.83,0.76,0.77
독백 Monologue,Wheesung,0.19,0.67,0.35,0.37
독감 Who Waits For Love,SHINee,0.42,0.37,0.76,0.34
데리러 가 Good Evening,SHINee,0.6,0.68,0.81,0.56
달콤해,투챠밍,0.32,0.78,0.79,0.82
달빛 소리 Moonlight Melody,Red Velvet,0.43,0.63,0.48,0.32
달리 Dally,Hyolyn,0.66,0.67,0.82,0.88
달리,Hyolyn,0.66,0.67,0.82,0.88
달려 Relay  iLYKE to Run Run Remix,GIDLE,0.3,0.77,0.92,0.57
달려 Relay  hue Remix,GIDLE,0.41,0.66,0.89,0.29
달려 Relay  Inst,GIDLE,0.28,0.76,0.5,0.54
달려 Relay,GIDLE,0.54,0.82,0.67,0.53
달라달라 DALLA DALLA,ITZY,0.82,0.79,0.85,0.71
달라달라 DALLA DALLA,ITZY,0.7,0.79,0.85,0.71
다음이 있을까,Lee Hyun,0.34,0.42,0.38,0.25
다른사람을 사랑하고 있어 I’m in love with someone else,Suzy,0.43,0.43,0.21,0.37
다 지나간다… Broken,TVXQ!,0.33,0.62,0.77,0.7
누군가의 과거가 될 용기에 대하여 About The Courage To Become Somebodys Past,Say Sue Me,0.19,0.31,0.73,0.23
네가 남겨둔 말 Our Page,SHINee,0.53,0.67,0.75,0.35
널하다 I Do Love U,Monsta X,0.48,0.73,0.84,0.77
널 위한 커피,오소연,0.35,0.68,0.35,0.71
너와 나의 것 Ours,Say Sue Me,0.24,0.61,0.8,0.75
너로 짙은 밤 Mistiness of You,Saevom,0.35,0.55,0.39,0.55
너는 밤새도록 Sleeplessness,Suzy,0.28,0.6,0.46,0.4
너 하나만 One And Only You,GOT7,0.51,0.59,0.85,0.78
내일할래 To Do List,Hyolyn,0.42,0.66,0.45,0.55
내일의 기억 Memento,솔리드 Solid,0.13,0.54,0.46,0.16
내일 만나 Sweet Dreams,EXOCBX,0.47,0.65,0.72,0.67
내꺼,초록픽하나,0.33,0.71,0.87,0.92
내가 돌아 NEGA DOLA,BoA,0.41,0.82,0.83,0.86
내 눈에는 니가,SNUPER,0.29,0.62,0.8,0.42
낮 꿈 Day Dream,SUNGMIN,0.27,0.36,0.4,0.26
날 알아줄까,스텔라장,0.34,0.6,0.57,0.55
나쁜X Bxatxh,Suzy,0.31,0.74,0.65,0.63
나 참 거만했었어 I Still,Saevom,0.22,0.62,0.39,0.45
끌어줘,하이파이브,0.3,0.68,0.89,0.74
꺼내보면,VOISPER,0.14,0.52,0.78,0.69
깊어지려나 보다 River Flows In You,Saevom,0.26,0.38,0.28,0.23
기름때 Grease,JONGHYUN,0.39,0.58,0.78,0.71
극과 극 NS,Stray Kids,0.59,0.82,0.67,0.38
그림자,ASTRO,0.4,0.76,0.9,0.81
그런 밤 Night Reminiscin’ with Yang Da Il,LUNA,0.39,0.47,0.28,0.28
곡선,SUNMI,0.54,0.71,0.84,0.71
경아의 하루,신현희와 김루트,0.12,0.66,0.91,0.91
게으름뱅이 Lazybones,TVXQ!,0.32,0.47,0.35,0.17
갑자기 분위기 싸해질 필요 없잖아요 Awkward Silence,Stray Kids,0.6,0.58,0.92,0.76
각자의 밤 Night Night,YESEO,0.33,0.59,0.35,0.42
麻婆豆腐,LAY,0.36,0.79,0.7,0.6
麗しき世界 Re:boot,Suara,0.16,0.16,0.6,0.22
鳳囚凰,白鹿,0.23,0.49,0.44,0.19
高手,Tiger Hu,0.4,0.57,0.54,0.49
高嶺の花子さん,back number,0.71,0.54,0.92,0.34
體面,Moon Chew,0.45,0.29,0.35,0.14
香水,LAY,0.32,0.7,0.66,0.32
飢餓遊戲,Kelvin Kwan,0.37,0.47,0.71,0.54
飛鳥與魚  Live,Yisa Yu,0.23,0.29,0.3,0.14
風立ちぬ,WagakkiBand,0.27,0.56,0.86,0.38
青草の匂い,SaToA,0.21,0.69,0.75,0.96
青と夏,Mrs GREEN APPLE,0.72,0.31,0.89,0.75
霧のDOWN TOWN,Kiyotaka Sugiyama,0.11,0.63,0.66,0.53
零 ZERO,Masaharu Fukuyama,0.45,0.45,0.9,0.7
雪影ぼうし,WagakkiBand,0.32,0.49,0.96,0.64
雪の降る街で、あなたを待っている。,Snails House,0.36,0.28,0.54,0.07
離人  Live,Sam Lee,0.31,0.28,0.27,0.14
集結號,LAY,0.32,0.39,0.37,0.11
階磚三,Deep Ng,0.28,0.36,0.49,0.29
陽光地中海,William Wei,0.28,0.7,0.61,0.3
長相廝守,ToNick,0.42,0.5,0.77,0.5
長い間  Remastered,Kiroro,0.44,0.57,0.5,0.35
铃犀,朱浩仁,0.2,0.49,0.45,0.12
鏡子說 《29  1》舞台劇主題曲,Joey Yung,0.38,0.54,0.35,0.4
重慶魂演唱會現場版,GAI,0.3,0.73,0.93,0.6
還好,Rachel Liang,0.43,0.47,0.2,0.33
過ぎゆく日と君へ feat nayuta,Aiobahn,0.44,0.75,0.93,0.96
這種天真,Joey Yung,0.24,0.38,0.48,0.32
逆天  劇集 “逆緣” 主題曲,Fred Cheng,0.25,0.56,0.53,0.07
追光者,Ariel Tsai,0.52,0.48,0.46,0.5
返老還童,Tiger Hu,0.4,0.74,0.77,0.64
越界,李振源,0.46,0.46,0.26,0.5
走,甜約翰 Sweet John,0.42,0.61,0.58,0.27
貪戀電視劇《歸還世界給你》主題曲,Jane Zhang,0.2,0.63,0.77,0.42
貝殼女孩,LAY,0.32,0.88,0.68,0.25
